DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, comb, up_qcdscale, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0015440476126968861" 
2, comb, up_qcdscale, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0018873792141675949" 
2, comb, up_qcdscale, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0055467975325882435" 
2, comb, up_qcdscale, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0063429353758692741" 
2, comb, up_qcdscale, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.00071596261113882065" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.00031084386864677072" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0011243136832490563" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.00091777736088261008" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0012737615033984184" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.00044115647324360907" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.00053925119573250413" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0015847992617636919" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.0018122672336176038" 
2, comb, up_qcdscale, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.00020456075435504317" 
2, comb, up_statistic, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.105544313788414" 
2, comb, up_statistic, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.01534288190305233" 
2, comb, up_statistic, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.014327267184853554" 
2, comb, up_statistic, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.766992+(0.00894732*(log(x+19)*(log(x+18)*(3-(0.423381*log(x+18)))))))+0.014727659523487091" 
